Ax,Ay,Az,Gx,Gy,Gz,Label
-0.001,0.008,1.024,1.129,-3.640,-0.919,Idle
-0.001,0.008,1.027,1.111,-3.596,-0.954,Idle
-0.001,0.009,1.024,1.094,-3.588,-0.936,Idle
-0.002,0.008,1.025,1.076,-3.596,-0.901,Idle
-0.001,0.009,1.026,1.120,-3.666,-0.901,Idle
-0.002,0.009,1.026,1.041,-3.631,-0.936,Idle
-0.002,0.008,1.024,1.050,-3.596,-0.910,Idle
-0.001,0.008,1.023,1.085,-3.631,-0.919,Idle
0.000,0.008,1.025,1.102,-3.640,-0.919,Idle
-0.001,0.008,1.025,1.059,-3.596,-0.989,Idle
-0.003,0.009,1.026,1.094,-3.614,-0.928,Idle
-0.001,0.009,1.024,1.120,-3.622,-0.928,Idle
0.001,0.008,1.027,1.102,-3.658,-0.928,Idle
-0.002,0.009,1.025,1.094,-3.649,-0.928,Idle
-0.002,0.009,1.027,1.102,-3.605,-0.954,Idle
-0.000,0.008,1.025,1.102,-3.614,-0.954,Idle
-0.001,0.008,1.026,1.076,-3.588,-0.910,Idle
0.001,0.008,1.025,1.050,-3.605,-0.936,Idle
-0.004,0.009,1.025,1.076,-3.622,-0.858,Idle
-0.003,0.009,1.023,1.033,-3.622,-0.936,Idle
0.000,0.008,1.026,1.085,-3.631,-0.892,Idle
-0.001,0.007,1.025,1.129,-3.649,-0.884,Idle
-0.005,0.009,1.027,1.102,-3.622,-0.928,Idle
-0.001,0.008,1.027,1.173,-3.649,-0.954,Idle
-0.002,0.006,1.024,1.006,-3.553,-0.910,Idle
-0.002,0.008,1.027,1.085,-3.614,-0.936,Idle
-0.002,0.010,1.027,1.120,-3.658,-0.910,Idle
-0.001,0.009,1.026,1.102,-3.640,-0.936,Idle
0.000,0.008,1.026,1.120,-3.596,-0.945,Idle
-0.000,0.007,1.023,1.050,-3.588,-0.919,Idle
-0.001,0.010,1.029,1.173,-3.658,-0.919,Idle
-0.000,0.008,1.029,1.129,-3.640,-0.910,Idle
0.001,0.007,1.020,1.050,-3.666,-0.945,Idle
-0.002,0.008,1.027,1.138,-3.675,-0.936,Idle
-0.003,0.008,1.026,1.067,-3.614,-0.928,Idle
-0.001,0.009,1.026,1.067,-3.596,-0.936,Idle
-0.000,0.008,1.024,1.094,-3.605,-0.928,Idle
-0.002,0.009,1.025,1.094,-3.605,-0.936,Idle
-0.003,0.008,1.024,1.076,-3.596,-0.919,Idle
-0.001,0.009,1.027,1.129,-3.640,-0.919,Idle
0.000,0.008,1.026,1.067,-3.658,-0.954,Idle
-0.002,0.008,1.025,1.094,-3.640,-0.928,Idle
-0.002,0.010,1.026,1.059,-3.631,-0.954,Idle
-0.000,0.008,1.024,1.050,-3.631,-0.954,Idle
-0.000,0.008,1.026,1.129,-3.605,-0.875,Idle
-0.003,0.009,1.026,1.059,-3.631,-0.910,Idle
-0.003,0.010,1.026,1.094,-3.666,-0.954,Idle
-0.001,0.009,1.024,1.076,-3.605,-0.919,Idle
0.000,0.009,1.024,1.094,-3.640,-0.884,Idle
-0.003,0.009,1.026,1.050,-3.596,-0.901,Idle
-0.003,0.010,1.026,1.094,-3.596,-0.945,Idle
-0.000,0.009,1.025,1.085,-3.666,-0.866,Idle
-0.001,0.008,1.026,1.120,-3.658,-0.910,Idle
-0.003,0.008,1.024,1.085,-3.649,-0.945,Idle
-0.003,0.007,1.024,1.138,-3.588,-0.928,Idle
-0.002,0.009,1.024,1.085,-3.658,-0.892,Idle
-0.001,0.009,1.026,1.094,-3.631,-0.928,Idle
-0.001,0.009,1.025,1.129,-3.640,-0.945,Idle
-0.001,0.010,1.025,1.085,-3.614,-0.901,Idle
-0.001,0.009,1.025,1.094,-3.666,-0.945,Idle
-0.000,0.008,1.025,1.085,-3.631,-0.901,Idle
-0.002,0.009,1.025,1.059,-3.605,-0.936,Idle
-0.001,0.008,1.025,1.059,-3.631,-0.919,Idle
0.000,0.008,1.027,1.076,-3.605,-0.936,Idle
-0.002,0.009,1.023,1.085,-3.588,-0.892,Idle
-0.001,0.009,1.025,1.120,-3.640,-0.945,Idle
-0.001,0.008,1.025,1.120,-3.614,-0.936,Idle
-0.001,0.008,1.025,1.120,-3.614,-0.928,Idle
-0.002,0.009,1.025,1.085,-3.658,-0.884,Idle
-0.001,0.008,1.025,1.102,-3.684,-0.910,Idle
-0.000,0.009,1.024,1.111,-3.684,-0.998,Idle
-0.001,0.008,1.028,1.138,-3.658,-0.936,Idle
-0.002,0.007,1.025,1.024,-3.570,-0.866,Idle
-0.002,0.010,1.026,1.111,-3.666,-0.936,Idle
-0.002,0.009,1.024,1.067,-3.622,-0.910,Idle
-0.002,0.008,1.026,1.024,-3.675,-0.901,Idle
0.000,0.010,1.026,1.085,-3.588,-0.910,Idle
-0.002,0.009,1.024,1.155,-3.631,-0.866,Idle
-0.002,0.009,1.027,1.094,-3.561,-0.928,Idle
-0.001,0.008,1.026,1.085,-3.649,-0.928,Idle
0.000,0.010,1.025,1.120,-3.675,-0.901,Idle
-0.002,0.010,1.025,1.094,-3.622,-0.928,Idle
-0.002,0.009,1.025,1.059,-3.666,-0.936,Idle
-0.002,0.009,1.026,1.111,-3.614,-0.928,Idle
-0.001,0.009,1.025,1.024,-3.614,-0.901,Idle
-0.000,0.009,1.025,1.102,-3.631,-0.928,Idle
-0.002,0.010,1.026,1.102,-3.605,-0.971,Idle
-0.001,0.009,1.026,1.102,-3.631,-0.919,Idle
-0.001,0.009,1.026,1.076,-3.605,-0.919,Idle
-0.002,0.009,1.026,1.085,-3.614,-0.875,Idle
-0.002,0.009,1.024,1.076,-3.631,-0.945,Idle
-0.002,0.009,1.025,1.076,-3.631,-0.945,Idle
0.000,0.009,1.025,1.129,-3.596,-0.910,Idle
0.000,0.008,1.024,1.076,-3.649,-0.901,Idle
-0.003,0.009,1.025,1.059,-3.658,-0.919,Idle
